"","Country","lon","lat"
"1","United States of America",-95.712891,37.09024
"2","Spain",-3.74922,40.463667
"3","France",2.213749,46.227638
"4","Mexico",-102.552784,23.634501
"5","China",104.195397,35.86166
"6","India",78.96288,20.593684
"7","Hong Kong",114.109497,22.396428
"8","Brazil",-51.92528,-14.235004
"9","Germany",10.451526,51.165691
"10","Japan",138.252924,36.204824
"11","Italy",12.56738,41.87194
"12","Russia",105.318756,61.52401
"13","Malaysia",101.975766,4.210484
"14","Korea, Republic of",127.766922,35.907757
"15","Saudi Arabia",45.079162,23.885942
"16","Chile",-71.542969,-35.675147
"17","Netherlands",5.291266,52.132633
"18","Sweden",18.643501,60.128161
"19","Switzerland",8.227512,46.818188
"20","Colombia",-74.297333,4.570868
"21","Austria",14.550072,47.516231
"22","Australia",133.775136,-25.274398
"23","United Kingdom",-3.435973,55.378051
"24","Thailand",100.992541,15.870032
"25","Nigeria",8.675277,9.081999
"26","Czech Republic",15.472962,49.817492
"27","Indonesia",113.921327,-0.789275
"28","Canada",-106.346771,56.130366
"29","Monaco",7.4246158,43.7384176
"30","Cyprus",33.429859,35.126413
"31","Singapore",103.819836,1.352083
"32","Israel",34.851612,31.046051
"33","South Africa",22.937506,-30.559482
"34","New Zealand",174.885971,-40.900557
"35","Philippines",121.774017,12.879721
"36","Egypt",30.802498,26.820553
"37","Denmark",9.501785,56.26392
"38","Ireland",-7.6920536,53.1423672
"39","Taiwan",120.960515,23.69781
"40","Belgium",4.469936,50.503887
"41","United Arab Emirates",53.847818,23.424076
"42","Georgia",-82.9000751,32.1656221
"43","Ukraine",31.1655799,48.379433
"44","Norway",8.468946,60.472024
"45","Cayman Islands",-81.2546,19.3133
"46","Finland",25.7481511,61.92411
"47","",NA,NA
